ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
2,Pont Jean Zuccarelli,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView2.html""; ""2"")",80.45,4082887,"[1115443571, 3796070183L, 21670405]","[3.897131, 3.896579, 3.8963200000000002]","[43.600629, 43.600343, 43.600205]","[54.63, 25.82]"
3,Pont Juvenal,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView3.html""; ""3"")",23.38,4218765,"[653594, 280744982]","[3.897787, 3.8980639999999998]","[43.606279, 43.606214]",[23.38]
4,Pont Raymond Chauliac,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView4.html""; ""4"")",97.55,4218766,"[8978880, 3791266610L, 3791266606L]","[3.897808, 3.896955, 3.896616]","[43.609197, 43.609085, 43.609036]","[69.78, 27.77]"
5,Boulevard d'Antigone,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView5.html""; ""5"")",41.46,4218768,"[8978881, 3791266601L, 977921944, 8978882, 977921978]","[3.895982, 3.895909, 3.895829, 3.895716, 3.8954779999999998]","[43.608958, 43.608986, 43.608984, 43.608982, 43.609002]","[6.62, 6.45, 9.13, 19.26]"
6,Avenue du Piree,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView6.html""; ""6"")",30.3,4299520,"[21670402, 1796617833, 286527428, 1796617834, 21670403, 1796617835, 1585115901, 951222052, 951222042]","[3.8962019999999997, 3.896171, 3.896121, 3.896077, 3.89604, 3.896011, 3.895983, 3.895942, 3.895876]","[43.600313, 43.600304, 43.600302, 43.600307, 43.600314, 43.600322, 43.600331, 43.600352, 43.600406]","[2.62, 4.06, 3.54, 3.12, 2.52, 2.42, 4.06, 7.96]"
7,Avenue Marie de Montpellier,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView7.html""; ""7"")",22.2,4299521,"[1115443571, 3665751761L, 3670034498L]","[3.897131, 3.897336, 3.8973709999999997]","[43.600629, 43.600712, 43.600728]","[18.9, 3.3]"
8,Place Emile Martin,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView8.html""; ""8"")",23.04,4861661,"[119549981, 1584018068, 83737101]","[3.866399, 3.866339, 3.8663119999999997]","[43.626469, 43.626595, 43.626667]","[14.83, 8.21]"
9,Rue du Triolet,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView9.html""; ""9"")",335.86,4862778,"[2002537611, 2396390960L, 2002537612, 2612045868L, 31327758, 2612045871L, 2642878039L, 2642878041L, 2642878043L, 2642878045L, 2642878047L, 289080553]","[3.862772, 3.862727, 3.862689, 3.8619120000000002, 3.861803, 3.86178, 3.861758, 3.861733, 3.861702, 3.861664, 3.8616349999999997, 3.861574]","[43.624335, 43.624367, 43.624407, 43.625695, 43.625901999999996, 43.62611, 43.626227, 43.626359, 43.626517, 43.626723, 43.626873, 43.627193]","[5.1, 5.32, 156.14, 24.66, 23.22, 13.1, 14.86, 17.73, 23.03, 16.85, 35.85]"
10,Rue du Triolet,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView10.html""; ""10"")",191.37,4862778,"[289080553, 2612045883L, 2126040746, 31327763, 1988359198, 31327752]","[3.861574, 3.861557, 3.861404, 3.861353, 3.861049, 3.86105]","[43.627193, 43.627278, 43.628028, 43.628279, 43.628784, 43.628856999999996]","[9.55, 84.26, 28.19, 61.26, 8.11]"
11,Avenue Emile Bertin-Sans,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView11.html""; ""11"")",244.89,4862846,"[83737101, 3810224714L, 3810224717L, 551219177, 3906240560L, 3906240573L, 2479837327L, 2394148055L, 31383151, 2479837333L, 2479837367L, 2479837300L, 1424195831]","[3.8663119999999997, 3.866214, 3.8661659999999998, 3.86615, 3.865567, 3.865094, 3.864777, 3.8647169999999997, 3.864639, 3.864582, 3.864373, 3.864297, 3.864191]","[43.626667, 43.626743, 43.626781, 43.626794, 43.627231, 43.627581, 43.627816, 43.627861, 43.627921, 43.62796, 43.628112, 43.628174, 43.628248]","[11.52, 5.78, 1.96, 67.47, 54.42, 36.47, 6.92, 9.15, 6.32, 23.81, 9.26, 11.81]"
