ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
2,Route de Kergolvezen,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView2.html""; ""2"")",1138.54,177279633,"[626642745, 626642744, 626642743, 3039540484L, 3039540477L, 3039540483L, 626642742, 626642739, 628649153, 3039932836L, 626642736, 3039932835L, 3431944549L, 626642734, 3039932834L, 626642733, 664623586, 628650144, 626964199, 626642732, 626642731, 628650108]","[-3.4010920000000002, -3.401674, -3.403399, -3.4035320000000002, -3.403635, -3.403686, -3.403648, -3.4031190000000002, -3.402953, -3.402532, -3.402146, -3.401978, -3.401943, -3.401932, -3.401966, -3.401931, -3.401839, -3.401753, -3.401677, -3.401374, -3.4, -3.39953]","[48.743313, 48.743389, 48.743273, 48.743256, 48.743217, 48.743127, 48.743021, 48.742166, 48.741894, 48.741689, 48.741436, 48.741265, 48.741208, 48.741064, 48.740812, 48.740559, 48.740325, 48.740109, 48.739918, 48.736993, 48.736115, 48.735549]","[43.46, 127.1, 9.89, 8.7, 10.69, 12.09, 102.63, 32.58, 38.34, 39.84, 22.65, 6.87, 16.01, 28.17, 28.2, 26.9, 24.73, 21.95, 325.86, 140.13, 71.75]"
3,Route de Kergolvezen,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView3.html""; ""3"")",732.86,177279633,"[628650108, 626642730, 626642729, 1511627288, 626642728]","[-3.39953, -3.397769, -3.397468, -3.397695, -3.397882]","[48.735549, 48.733427, 48.73286, 48.731199, 48.729296]","[268.89, 66.65, 185.36, 211.96]"
4,Route de Kergolvezen,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView4.html""; ""4"")",39.33,177279633,"[626642728, 410857798]","[-3.397882, -3.398099]","[48.729296, 48.728972]",[39.33]
5,None-residential,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView5.html""; ""5"")",24.77,177303149,"[1877565988, 1877565989]","[-3.39066, -3.390593]","[48.728757, 48.728538]",[24.77]
6,Route de Trezeny,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView6.html""; ""6"")",101.88,27875755,"[306046899, 3399381927L, 3399381928L, 627294720]","[-3.374623, -3.374658, -3.374708, -3.374798]","[48.735858, 48.736371, 48.736596, 48.736761]","[57.1, 25.25, 19.53]"
7,Route de Trezeny,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView7.html""; ""7"")",550.09,27875755,"[627294720, 306047251, 306047252, 3399381926L, 306047253, 3399381919L, 798799920, 306047260, 3399381921L, 3399381920L, 306047263, 633569172, 3399381922L, 306047264]","[-3.374798, -3.374955, -3.375501, -3.375562, -3.375498, -3.375387, -3.375125, -3.375014, -3.374769, -3.374157, -3.3736990000000002, -3.373536, -3.373478, -3.373402]","[48.736761, 48.737111, 48.737926, 48.738472, 48.738972, 48.739339, 48.739712, 48.739812, 48.739897, 48.740016, 48.740229, 48.740369, 48.740519, 48.740948]","[40.56, 99.0, 60.83, 55.75, 41.6, 45.62, 13.82, 20.26, 46.77, 41.07, 19.65, 17.21, 47.95]"
8,Route de Trezeny,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView8.html""; ""8"")",521.46,27875755,"[306047264, 3399381923L, 3399381924L, 3302902335L, 306047265]","[-3.373402, -3.373361, -3.37353, -3.373752, -3.373789]","[48.740948, 48.741565, 48.743003, 48.744443, 48.745627999999996]","[68.64, 160.25, 160.81, 131.76]"
9,Impasse de Croix Rolland,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView9.html""; ""9"")",149.48,49341607,"[410857795, 1876069766, 626642728]","[-3.396499, -3.396959, -3.397882]","[48.728319, 48.728753, 48.729296]","[58.86, 90.62]"
10,Route de Coatarel,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView10.html""; ""10"")",446.17,49481651,"[628650108, 628650109, 628650111, 628650113, 628650115, 628650117, 628650119, 628650121]","[-3.39953, -3.399219, -3.398446, -3.397824, -3.397223, -3.396794, -3.3957, -3.394648]","[48.735549, 48.735695, 48.736062, 48.736473, 48.736911, 48.737166, 48.737548, 48.737874]","[27.96, 69.83, 64.49, 65.7, 42.32, 90.75, 85.12]"
11,Rue des Lauriers,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView11.html""; ""11"")",197.52,49481410,"[628647165, 628647167, 628647168, 1877584194, 628647169]","[-3.385594, -3.385196, -3.384284, -3.38339, -3.383007]","[48.727932, 48.727986, 48.728135, 48.728305, 48.728417]","[29.78, 68.86, 68.22, 30.66]"
12,Rue des Lauriers,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView12.html""; ""12"")",40.44,49481410,"[628647169, 639160840]","[-3.383007, -3.382499]","[48.728417, 48.728558]",[40.44]
13,Rue des Lauriers,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Rospez/links/DualView13.html""; ""13"")",63.12,49481410,"[639160840, 892076282, 639160836]","[-3.382499, -3.382157, -3.381701]","[48.728558, 48.72865, 48.728771]","[27.07, 36.05]"
